SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
210045,210057,214031,2014,C,L,2016,2.5,0.136,43.544832
209025,211120,213087,2013,B,L,2014,1.5,0.078,43.09124
209045,211039,213156,2013,B,L,2015,2.5,0.176,43.09124
210069,208011,214060,2014,C,L,2015,1.5,0.082,43.09124
210069,211002,214067,2014,C,S,2015,1.5,0.102,43.09124
210015,211018,214100,2014,C,L,2015,1.5,0.088,43.09124
209020,211063,213031,2013,B,L,2015,2.5,0.298,42.637648
210060,211038,214030,2014,C,L,2015,1.5,0.232,42.637648
210015,209015,214127,2014,C,L,2015,1.5,0.072,42.637648
212012,212105,216073,2016,D,S,2017,1.5,0.1513,42.0933376
209029,210076,212065,2012,A,L,2013,1.5,0.096,41.730464
