SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
209020,209069,213005,2013,B,S,2016,3.5,1.266,71.213944
210060,211063,214139,2014,C,S,2016,2.5,0.436,71.213944
210089,210072,214131,2014,C,S,2018,4.5,0.9052,70.987148
212053,213003,216030,2016,D,S,2018,2.5,1.1772,70.987148
210045,210108,214109,2014,C,S,2016,2.5,0.63,70.760352
210045,210066,214112,2014,C,L,2019,5.5,1.7832,70.760352
210045,210059,214071,2014,C,L,2017,3.5,0.9665,70.533556
209020,211002,213060,2013,B,L,2017,4.5,1.1937,69.853168
210069,211094,214085,2014,C,S,2016,2.5,0.72,69.853168
209020,211063,213031,2013,B,L,2017,4.5,0.6461,69.626372
209020,210074,212073,2012,A,L,2016,4.5,0.738,69.399576
209020,211045,213085,2013,B,L,2016,3.5,0.782,69.399576
209025,208035,213089,2013,B,L,2016,3.5,0.772,69.399576
210089,209056,214144,2014,C,S,2016,2.5,0.942,69.399576
210097,209064,212007,2012,A,L,2015,3.5,0.702,68.945984
209020,210086,212018,2012,A,L,2015,3.5,0.978,68.945984
209020,210074,212073,2012,A,L,2015,3.5,0.662,68.945984
209025,210010,213009,2013,B,S,2015,2.5,0.862,68.945984
209007,211083,213136,2013,B,S,2015,2.5,0.832,68.945984
210069,211009,214052,2014,C,L,2018,4.5,0.8734,68.945984
210089,209024,214013,2014,C,L,2017,3.5,0.6123,68.719188
210097,209064,212008,2012,A,S,2013,1.5,0.268,68.492392
209020,208009,212021,2012,A,L,2015,3.5,0.762,68.492392
209009,210018,213080,2013,B,L,2015,2.5,1.06,68.492392
210089,209026,214036,2014,C,L,2018,4.5,0.986,68.492392
212012,212105,216073,2016,D,S,2019,3.5,0.8437,68.265596
209009,211091,213002,2013,B,S,2014,1.5,0.294,68.0388
209020,211002,213060,2013,B,L,2016,3.5,0.906,68.0388
209025,211078,213121,2013,B,S,2015,2.5,0.77,68.0388
209025,211130,213152,2013,B,S,2015,2.5,0.806,68.0388
210069,211047,214077,2014,C,S,2019,5.5,1.1125,68.0388
212016,212068,216012,2016,D,S,2019,3.5,1.1102,68.0388
212012,212105,216073,2016,D,S,2020,4.5,0.2639,68.0388
209020,207013,212020,2012,A,S,2013,1.5,0.784,67.585208
209029,210010,212069,2012,A,S,2017,5.5,1.3397,67.585208
209009,211043,213037,2013,B,L,2015,2.5,0.998,67.585208
209058,211126,213047,2013,B,S,2015,2.5,1.226,67.585208
210069,211011,214097,2014,C,L,2017,3.5,0.767,67.358412
209045,211113,213069,2013,B,L,2017,4.5,1.009,67.131616
209007,211125,213081,2013,B,L,2016,3.5,0.792,67.131616
210069,208011,214060,2014,C,L,2017,3.5,0.6577,66.90482
210045,209059,212015,2012,A,L,2015,3.5,1.314,66.678024
209020,209054,213014,2013,B,L,2016,3.5,0.788,66.678024
209009,208011,213075,2013,B,L,2015,2.5,0.944,66.678024
209007,211014,213115,2013,B,S,2015,2.5,0.422,66.678024
210089,209026,214036,2014,C,L,2019,5.5,1.0623,66.678024
210015,211067,214094,2014,C,L,2017,3.5,0.4677,66.678024
210045,210057,214031,2015,C,L,2018,4.5,0.5691,66.451228
210097,207051,212038,2012,A,L,2014,2.5,0.496,66.224432
209009,211121,213026,2013,B,S,2014,1.5,0.548,66.224432
210069,211065,214016,2014,C,S,2016,2.5,0.566,66.224432
210069,208011,214059,2014,C,S,2016,2.5,0.573,66.224432
210060,208009,214107,2014,C,S,2016,2.5,0.844,66.224432
212016,213136,216078,2016,D,S,2018,2.5,1.0506,66.224432
210045,208035,212002,2012,A,S,2013,1.5,0.398,65.77084
209020,210086,212018,2012,A,L,2014,2.5,0.614,65.77084
210097,207005,212040,2012,A,L,2014,2.5,0.68,65.77084
209058,210201,213041,2013,B,L,2015,2.5,0.606,65.77084
209025,211120,213087,2013,B,L,2017,4.5,0.5032,65.77084
212040,212064,216005,2016,D,L,2020,4.5,0.8999,65.77084
210060,211102,214075,2014,C,L,2017,3.5,0.959,65.544044
210039,209018,212011,2012,A,L,2016,4.5,0.954,65.317248
210097,210008,212016,2012,A,S,2014,2.5,1.1,65.317248
209007,211201,213056,2013,B,L,2017,4.5,0.9698,65.317248
210045,210074,214142,2014,C,L,2017,3.5,0.5991,65.317248
209025,210076,213150,2013,B,L,2017,4.5,1.209,65.090452
209029,210010,212069,2012,A,S,2016,4.5,1.1312,64.863656
210045,210066,214112,2014,C,L,2017,3.5,1.1025,64.63686
210089,211008,214150,2014,C,L,2019,5.5,1.0534,64.63686
209020,211045,213085,2013,B,L,2015,2.5,0.534,64.410064
209025,211078,213120,2013,B,L,2016,3.5,0.746,64.410064
209007,210108,213124,2013,B,S,2015,2.5,0.916,64.410064
209007,209050,213132,2013,B,L,2015,2.5,0.55,64.410064
209007,209050,213132,2013,B,L,2016,3.5,0.884,64.410064
210060,211038,214030,2014,C,L,2017,3.5,0.6414,64.410064
210089,208023,214038,2014,C,S,2015,1.5,0.42,64.410064
210015,211018,214100,2014,C,L,2017,3.5,0.6813,64.410064
210045,210074,214141,2014,C,S,2016,2.5,0.676,64.410064
212016,212068,216012,2016,D,S,2020,4.5,1.2898,64.410064
210039,210003,212057,2012,A,S,2014,2.5,1.076,63.956472
210097,209016,212058,2012,A,L,2016,4.5,0.91,63.956472
209009,211058,213035,2013,B,S,2014,1.5,0.656,63.956472
209025,210066,213097,2013,B,S,2015,2.5,0.524,63.956472
209058,211015,213117,2013,B,S,2016,3.5,0.838,63.956472
210089,210076,214050,2014,C,S,2016,2.5,0.926,63.956472
210069,211002,214067,2014,C,S,2017,3.5,0.5307,63.956472
209009,208018,213029,2013,B,L,2015,2.5,0.838,63.50288
209025,211008,213155,2013,B,S,2015,2.5,0.544,63.50288
210045,210066,214112,2014,C,L,2018,4.5,1.6553,63.50288
212016,212126,216045,2016,D,S,2018,2.5,0.546,63.50288
210089,211008,214150,2014,C,L,2018,4.5,0.933,63.276084
210045,207029,212053,2012,A,S,2014,2.5,0.772,63.049288
209058,209024,213049,2013,B,L,2016,3.5,0.404,63.049288
209025,208035,213090,2013,B,S,2014,1.5,0.282,63.049288
210045,211120,214087,2014,C,L,2016,2.5,0.34,63.049288
212040,212001,216032,2016,D,L,2020,4.5,0.8764,63.049288
210069,208011,214060,2014,C,L,2018,4.5,0.8384,62.595696
210069,210064,214069,2014,C,L,2017,3.5,0.7068,62.595696
210039,209018,212011,2012,A,L,2015,3.5,0.97,62.142104
210069,211047,214077,2014,C,S,2016,2.5,0.832,62.142104
210015,211067,214093,2014,C,S,2015,1.5,0.3,62.142104
210069,211011,214098,2014,C,S,2015,1.5,0.358,62.142104
210069,210020,214146,2014,C,L,2016,2.5,0.552,62.142104
210097,209047,212043,2012,A,L,2013,1.5,0.412,61.688512
209020,209069,213004,2013,B,L,2016,3.5,0.978,61.688512
209009,211043,213037,2013,B,L,2014,1.5,0.446,61.688512
209020,211002,213060,2013,B,L,2015,2.5,0.63,61.688512
210060,210094,214153,2014,C,L,2017,3.5,0.5314,61.688512
210045,209063,212033,2012,A,S,2014,2.5,0.61,61.23492
210097,207051,212038,2012,A,L,2015,3.5,0.688,61.23492
210045,210059,214072,2014,C,S,2015,1.5,0.538,61.23492
212012,212063,216039,2016,D,S,2019,3.5,0.4998,61.008124
210097,207005,212039,2012,A,S,2013,1.5,0.492,60.781328
209020,211063,213031,2013,B,L,2016,3.5,0.376,60.781328
209058,209024,213049,2013,B,L,2015,2.5,0.302,60.781328
209045,211113,213069,2013,B,L,2016,3.5,0.812,60.781328
209007,211125,213081,2013,B,L,2015,2.5,0.494,60.781328
210069,211047,214077,2014,C,S,2018,4.5,0.9067,60.554532
210039,209018,212011,2012,A,L,2014,2.5,0.646,60.327736
210039,209018,212012,2012,A,S,2014,2.5,1.016,60.327736
210045,209059,212015,2012,A,L,2014,2.5,0.68,60.327736
210039,208008,212031,2012,A,L,2015,3.5,1.122,60.327736
209009,209047,213099,2013,B,S,2014,1.5,0.348,60.327736
209009,211081,213130,2013,B,L,2016,3.5,0.716,60.327736
210015,211018,214100,2014,C,L,2018,4.5,1.2147,60.10094
