SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
1210060,2210094,3214153,2014,C,L,2019,5.5,0.8037,76.430252
1210039,2209018,3212012,2012,A,S,2016,4.5,1.518,76.203456
1209029,2208036,3212048,2012,A,S,2016,4.5,2.1432,76.203456
1209058,2209024,3213049,2013,B,L,2017,4.5,0.6506,75.97666
1209020,2208009,3212021,2012,A,L,2016,4.5,0.858,75.749864
1209020,2208025,3212027,2012,A,L,2016,4.5,1.062,75.749864
1210069,2210064,3214069,2014,C,L,2018,4.5,1.147,75.749864
1212016,2212068,3216012,2016,D,S,2021,5.5,1.3955,75.2963218
1210097,2209016,3212058,2012,A,L,2017,5.5,1.2497,75.296272
1210015,2211067,3214094,2014,C,L,2018,4.5,0.745,75.069476
1210015,2209015,3214127,2014,C,L,2018,4.5,1.084,74.615884
1209020,2210086,3212018,2012,A,L,2016,4.5,1.2,74.389088
1209020,2209069,3213005,2013,B,S,2017,4.5,1.3347,74.389088
1210069,2211011,3214097,2014,C,L,2018,4.5,1.1996,74.162292
1210097,2207005,3212040,2012,A,L,2016,4.5,1.21,73.481904
1209009,2211081,3213130,2013,B,L,2017,4.5,1.0385,72.57472
1209058,2211015,3213117,2013,B,S,2017,4.5,1.3622,72.347924
1209058,2211006,3213158,2013,B,L,2017,4.5,0.73,72.347924
1209020,2209054,3213014,2013,B,L,2017,4.5,0.9852,72.121128
1210039,2209018,3212011,2012,A,L,2017,5.5,1.3412,71.894332
1209020,2209069,3213004,2013,B,L,2017,4.5,1.5041,71.894332
1210060,2210094,3214153,2014,C,L,2018,4.5,0.792,71.894332
1210045,2209059,3212015,2012,A,L,2016,4.5,1.488,71.667536
1210089,2210072,3214131,2014,C,S,2018,4.5,0.9052,70.987148
1210045,2210066,3214112,2014,C,L,2019,5.5,1.7832,70.760352
1209020,2211002,3213060,2013,B,L,2017,4.5,1.1937,69.853168
1209020,2211063,3213031,2013,B,L,2017,4.5,0.6461,69.626372
1209020,2210074,3212073,2012,A,L,2016,4.5,0.738,69.399576
1210069,2211009,3214052,2014,C,L,2018,4.5,0.8734,68.945984
1210089,2209026,3214036,2014,C,L,2018,4.5,0.986,68.492392
1210069,2211047,3214077,2014,C,S,2019,5.5,1.1125,68.0388
1212012,2212105,3216073,2016,D,S,2020,4.5,0.2639,68.0388
1209029,2210010,3212069,2012,A,S,2017,5.5,1.3397,67.585208
1209045,2211113,3213069,2013,B,L,2017,4.5,1.009,67.131616
1210089,2209026,3214036,2014,C,L,2019,5.5,1.0623,66.678024
1210045,2210057,3214031,2015,C,L,2018,4.5,0.5691,66.451228
1209025,2211120,3213087,2013,B,L,2017,4.5,0.5032,65.77084
1212040,2212064,3216005,2016,D,L,2020,4.5,0.8999,65.77084
1210039,2209018,3212011,2012,A,L,2016,4.5,0.954,65.317248
1209007,2211201,3213056,2013,B,L,2017,4.5,0.9698,65.317248
1209025,2210076,3213150,2013,B,L,2017,4.5,1.209,65.090452
1209029,2210010,3212069,2012,A,S,2016,4.5,1.1312,64.863656
1210089,2211008,3214150,2014,C,L,2019,5.5,1.0534,64.63686
1212016,2212068,3216012,2016,D,S,2020,4.5,1.2898,64.410064
1210097,2209016,3212058,2012,A,L,2016,4.5,0.91,63.956472
1210045,2210066,3214112,2014,C,L,2018,4.5,1.6553,63.50288
1210089,2211008,3214150,2014,C,L,2018,4.5,0.933,63.276084
1212040,2212001,3216032,2016,D,L,2020,4.5,0.8764,63.049288
1210069,2208011,3214060,2014,C,L,2018,4.5,0.8384,62.595696
1210069,2211047,3214077,2014,C,S,2018,4.5,0.9067,60.554532
1210015,2211018,3214100,2014,C,L,2018,4.5,1.2147,60.10094
1210089,2211029,3214116,2014,C,L,2018,4.5,0.741,59.647348
1209058,2210094,3213062,2013,B,L,2017,4.5,1.2361,56.018612
1209029,2210076,3212065,2012,A,L,2016,4.5,0.716,51.709488
1209029,2210036,3212083,2012,A,L,2016,4.5,0.418,49.89512
1210089,2211029,3214116,2014,C,L,2019,5.5,0.4754,40.0975328
